College,Campus,Building,Street,Locality,Town,Postcode,Phone,Fax,Text,Latitude,Longitude
Belfast Metropolitan College,Titanic Quarter Campus,Titanic Quarter,7 Queen's Road,,Belfast,BT3 9DT,028 9026 5000,Fax: 028 9026 5101,,,
Belfast Metropolitan College,Castlereagh Campus,,Montgomery Road,,Belfast,BT6 9JD,028 9026 5000,Fax: 028 9040 1820,,,
Belfast Metropolitan College,e3 Springvale Campus,e3 Building,398 Springfield Road,,Belfast,BT12 7DU,028 9026 5200,Fax: 028 9026 5001,,,
Belfast Metropolitan College,e3 Community Learning Centre,Community Learning Centre,400 Springfield Road,,Belfast,BT12 7DU,028 9090 0000,,,,
Belfast Metropolitan College,Millfield Campus,,125–153 Millfield,,Belfast,BT1 1HS,028 9026 5000,Fax: 028 9026 5401,,,
"CAFRE (College of Agriculture, Food and Rural Enterprise)",Greenmount Campus,,45 Tirgracy Road,,Antrim,BT41 4PS,,,,,
"CAFRE (College of Agriculture, Food and Rural Enterprise)",Enniskillen Campus,,2 Mullaghmeen Road,Levaghy,Enniskillen,BT74 4GF,,,,,
"CAFRE (College of Agriculture, Food and Rural Enterprise)",Loughry Campus,,76 Dungannon Road,,Cookstown,BT80 9AA,,,,,
North West Regional College,Londonderry Campus,,Strand Road,,Londonderry,BT48 7AL,028 7127 6000,Fax: 028 7126 0520,,,
North West Regional College,Limavady Campus,,Main Street,,Limavady,BT49 0EX,028 7127 8700,Fax: 028 7776 1018,,,
North West Regional College,Strabane Campus,,Derry Road,,Strabane,BT82 8DX,028 7138 2317,Fax: 028 7138 3501,,,
Northern Regional College,Trostan campus (Ballymena),Trostan Avenue Building,,,Ballymena,BT43 7BN,028 2563 6221,Fax: 028 2565 9245,,,
Northern Regional College,Farm Lodge campus (Ballymena),Farm Lodge Buildings,,,Ballymena,BT43 7DF,028 2565 2871,Fax: 028 2563 1353,,,
Northern Regional College,Ballymoney campus,,2 Coleraine Road,,Ballymoney,BT53 6BP,028 2766 0401,Fax: 028 2766 4529,,,
Northern Regional College,Coleraine campus,,Union Street,,Coleraine,BT52 1QA,Majella O'Boyle: 028 7963 2462,Fax: 028 7035 6377,,,
Northern Regional College,Larne campus,,32 - 34 Pound Street,,Larne,BT40 1SQ,028 9085 5000,Fax: 028 9086 2076,,,
Northern Regional College,Magherafelt campus,,22 Moneymore Road,,Magherafelt,BT45 6AE,Majella O'Boyle: 028 7963 2462,Fax: 028 9086 2076,,,
Northern Regional College,Newtownabbey campus,,400 Shore Road,,Newtownabbey,BT37 9RS,028 9085 5000,Fax: 028 9086 2076,,,
South Eastern Regional College,Ballynahinch campus,,Church Street,,Ballynahinch,BT24 8LP,028 4461 5815,Fax: 028 9756 5637,,,
South Eastern Regional College,Bangor campus,,Castle Park Road,,Bangor,BT20 4TD,028 9127 6600,Fax: 028 9127 6601,,,
South Eastern Regional College,Downpatrick campus,,Market Street,,Downpatrick,BT30 6ND,028 4461 5815,Fax: 028 4461 5817,,,
South Eastern Regional College,Lisburn campus,,Castle Street,,Lisburn,BT27 4SU,028 9267 7225,Fax: 028 9267 7291,,,
South Eastern Regional College,Newcastle campus,,Castlewellan Road,,Newcastle,BT33 0UR,028 4461 5815,Fax: 028 4372 6203,,,
South Eastern Regional College,Newtownards campus,,Victoria Avenue,,Newtownards,BT23 7ED,028 9127 6800,Fax: 028 9127 6801,,,
South Eastern Regional College,Carrowdore out-centre,,Manse Road,,Carrowdore,BT22 2EY,028 9127 6600,Fax: 028 9127 6601,,,
South Eastern Regional College,Holywood out-centre,,Old Holywood Road,,Holywood,BT18 9QH,028 9127 6600,Fax: 028 9127 6601,,,
South West College,Cookstown campus,,Burn Road,,Cookstown,BT80 8DN,0845 603 1881,Fax: 028 8676 1818,Text number: 028 8772 0625 (for deaf and hard of hearing users only),,
South West College,Dungannon campus,,Circular Road,,Dungannon,BT71 6BQ,0845 603 1881 / 1800 481 046 (from Republic of Ireland),Fax: 028 8775 2018,Text number: 028 8772 0625 (for deaf and hard of hearing users only),,
South West College,Enniskillen campus,Fairview,1 Dublin Road,,Enniskillen,BT74 6AE,0845 603 1881,Fax: 028 6632 6357,Text number: 028 6631 2278 (for deaf and hard of hearing users only),,
South West College,Omagh campus,,2 Mountjoy Road,,Omagh,BT79 7AH,0845 603 1881,Fax: 028 8224 1440,Text number: 028 8225 5237 (for deaf and hard of hearing users only),,
Southern Regional College,Armagh campus,Lonsdale Building,College Hill,,Armagh,BT61 7HN,0300 123 1223,Fax: 028 3751 2844,,,
Southern Regional College,Banbridge campus,,Castlewellan Road,,Banbridge,BT32 4AY,0300 123 1223,Fax: 028 3839 7701,,,
Southern Regional College,Kilkeel campus,,Greencastle Street,,Kilkeel,BT34 4BH,0300 123 1223,Fax: 028 4176 5975,,,
Southern Regional College,Lurgan campus,,Kitchen Hill,,Lurgan,BT66 6AZ,0300 123 1223,Fax: 028 3839 7801,,,
Southern Regional College,Newry campus,,Patrick Street,,Newry,BT35 8DN,0300 123 1223,Fax: 028 3026 6556,,,
Southern Regional College,Portadown campus,,36 Lurgan Road,,Portadown,BT63 5BL,0300 123 1223,Fax: 028 3839 7751,,,
